0.975,-0.019,-0.074
144.515,-0.968,-0.018,-0.093
144.572,-0.973,-0.022,-0.064
144.628,-0.967,-0.023,-0.080
144.685,-0.963,-0.024,-0.103
144.741,-0.972,-0.016,-0.084
144.798,-0.970,-0.018,-0.101
144.855,-0.964,-0.024,-0.093
144.911,-0.963,-0.024,-0.062
144.967,-0.970,-0.025,-0.119
145.025,-0.972,-0.022,-0.088
145.081,-0.974,-0.020,-0.068
145.137,-0.967,-0.020,-0.110
145.193,-0.969,-0.024,-0.081
145.251,-0.978,-0.024,-0.077
145.307,-0.973,-0.018,-0.099
145.363,-0.970,-0.022,-0.101
145.420,-0.979,-0.029,-0.078
145.477,-0.969,-0.035,-0.124
145.533,-0.969,-0.023,-0.081
145.590,-0.971,-0.023,-0.101
145.646,-0.968,-0.031,-0.082
145.703,-0.976,-0.025,-0.069
145.760,-0.978,-0.019,-0.090
145.816,-0.977,-0.020,-0.103
145.872,-0.975,-0.020,-0.120
145.930,-0.972,-0.023,-0.089
145.986,-0.968,-0.024,-0.103
146.042,-0.973,-0.020,-0.089
146.099,-0.977,-0.019,-0.083
146.156,-0.972,-0.019,-0.082
146.212,-0.980,-0.033,-0.040
146.269,-0.969,-0.031,-0.109
146.325,-0.977,-0.020,-0.055
146.382,-0.973,-0.021,-0.105
146.439,-0.967,-0.018,-0.048
146.495,-0.964,-0.032,-0.075
146.551,-0.974,-0.021,-0.094
146.609,-0.972,-0.023,-0.100
146.665,-0.971,-0.029,-0.097
146.721,-0.969,-0.018,-0.100
146.778,-0.975,-0.019,-0.062
146.835,-0.967,-0.024,-0.104
146.891,-0.974,-0.018,-0.103
146.948,-0.972,-0.026,-0.065
147.004,-0.971,-0.025,-0.081
147.061,-0.966,-0.028,-0.078
147.118,-0.966,-0.027,-0.089
147.174,-0.981,-0.017,-0.124
147.230,-0.970,-0.012,-0.065
147.288,-0.959,-0.027,-0.070
147.344,-0.960,-0.027,-0.131
147.400,-0.977,-0.021,-0.089
147.457,-0.978,-0.017,-0.071
147.514,-0.976,-0.014,-0.073
147.570,-0.979,-0.025,-0.061
147.627,-0.971,-0.027,-0.076
147.683,-0.972,-0.020,-0.081
147.740,-0.964,-0.018,-0.103
147.796,-0.965,-0.030,-0.055
147.853,-0.971,-0.028,-0.060
147.909,-0.976,-0.024,-0.109
147.965,-0.971,-0.008,-0.080
148.023,-0.974,-0.021,-0.075
148.079,-0.971,-0.024,-0.094
148.135,-0.970,-0.022,-0.097
148.192,-0.969,-0.026,-0.077
148.249,-0.976,-0.031,-0.078
148.305,-0.959,-0.023,-0.079
148.362,-0.962,-0.027,-0.088
148.418,-0.970,-0.027,-0.103
148.475,-0.965,-0.018,-0.108
148.532,-0.969,-0.016,-0.080
148.588,-0.976,-0.020,-0.095
148.644,-0.967,-0.024,-0.102
148.702,-0.975,-0.016,-0.104
