-0.969,0.021,-0.096
524.692,-0.971,0.018,-0.074
524.877,-0.964,0.018,-0.075
525.063,-0.971,0.017,-0.088
525.249,-0.970,0.014,-0.124
525.434,-0.969,0.022,-0.064
525.620,-0.970,0.024,-0.102
525.805,-0.978,0.019,-0.114
525.990,-0.970,0.016,-0.063
526.176,-0.971,0.021,-0.059
526.362,-0.970,0.014,-0.094
526.547,-0.974,0.012,-0.110
526.733,-0.963,0.020,-0.071
526.918,-0.966,0.015,-0.096
527.104,-0.973,0.025,-0.092
527.289,-0.969,0.021,-0.107
527.475,-0.965,0.018,-0.099
527.661,-0.971,0.019,-0.090
527.846,-0.971,0.022,-0.121
528.031,-0.968,0.020,-0.103
528.217,-0.970,0.011,-0.110
528.402,-0.969,0.018,-0.075
528.588,-0.966,0.012,-0.097
528.774,-0.956,0.022,-0.083
528.959,-0.972,0.019,-0.094
529.144,-0.969,0.015,-0.099
529.330,-0.969,0.011,-0.090
529.515,-0.966,0.016,-0.100
529.701,-0.974,0.019,-0.088
529.887,-0.961,0.018,-0.128
530.072,-0.967,0.011,-0.090
530.257,-0.975,0.014,-0.093
530.443,-0.974,0.015,-0.105
530.628,-0.975,0.025,-0.094
530.814,-0.967,0.022,-0.068
531.000,-0.972,0.021,-0.074
531.185,-0.974,0.015,-0.098
531.371,-0.966,0.019,-0.114
531.556,-0.969,0.017,-0.089
531.741,-0.975,0.018,-0.087
531.928,-0.967,0.016,-0.107
532.113,-0.969,0.016,-0.111
532.298,-0.971,0.013,-0.098
532.484,-0.982,0.024,-0.097
532.669,-0.971,0.015,-0.129
532.855,-0.968,0.017,-0.085
533.041,-0.972,0.019,-0.106
533.226,-0.976,0.019,-0.080
533.411,-0.966,0.022,-0.107
533.597,-0.964,0.018,-0.078
533.782,-0.976,0.021,-0.077
533.968,-0.970,0.016,-0.096
534.154,-0.972,0.020,-0.087
534.339,-0.962,0.014,-0.076
534.524,-0.968,0.018,-0.109
534.710,-0.969,0.012,-0.132
534.895,-0.972,0.016,-0.076
535.081,-0.970,0.023,-0.091
535.267,-0.972,0.015,-0.081
535.452,-0.975,0.014,-0.103
535.638,-0.971,0.020,-0.100
535.823,-0.977,0.010,-0.093
536.008,-0.973,0.018,-0.104
536.195,-0.974,0.015,-0.109
536.380,-0.968,0.016,-0.075
536.565,-0.967,0.023,-0.086
536.751,-0.965,0.023,-0.102
536.936,-0.968,0.019,-0.106
537.121,-0.974,0.022,-0.078
537.308,-0.972,0.023,-0.090
537.493,-0.974,0.013,-0.129
537.678,-0.970,0.023,-0.107
537.864,-0.966,0.023,-0.086
538.049,-0.970,0.021,-0.081
538.234,-0.968,0.013,-0.111
538.421,-0.974,0.022,-0.101
538.606,-0.970,0.022,-0.107
538.791,-0.973,0.018,-0.107
538.977,-0.969,0.012,-0.106
539.162,-0.968,0.023,-0.100
539.347,-0.975,0.013,-0.082
539.534,-0.978,0.021,-0.088
539.719,-0.963,0.014,-0.097
539.905,-0.971,0.018,-0.076
540.090,-0.973,0.018,-0.090
540.275,-0.972,0.012,-0.098
540.461,-0.964,0.019,-0.079
540.647,-0.970,0.020,-0.102
540.832,-0.967,0.024,-0.102
541.018,-0.970,0.011,-0.086
541.203,-0.964,0.020,-0.071
541.388,-0.972,0.020,-0.101
541.574,-0.972,0.022,-0.106
541.760,-0.969,0.015,-0.105
541.945,-0.966,0.016,-0.098
542.131,-0.975,0.015,-0.096
542.316,-0.974,0.024,-0.103
542.501,-0.968,0.013,-0.121
542.687,-0.974,0.021,-0.083
542.873,-0.974,0.019,-0.119
543.058,-0.966,0.017,-0.099
543.244,-0.967,0.017,-0.077
543.429,-0.967,0.019,-0.073
543.614,-0.971,0.016,-0.094
543.800,-0.978,0.024,-0.105
543.986,-0.967,0.018,-0.089
544.172,-0.971,0.011,-0.103
544.357,-0.974,0.018,-0.095
544.542,-0.970,0.016,-0.130
544.728,-0.966,0.020,-0.082
544.913,-0.967,0.015,-0.104
545.099,-0.975,0.016,-0.112
545.285,-0.963,0.017,-0.100
545.470,-0.970,0.015,-0.100
545.655,-0.974,0.022,-0.117
545.841,-0.973,0.014,-0.099
546.026,-0.963,0.017,-0.102
546.212,-0.968,0.024,-0.089
546.398,-0.979,0.021,-0.096
546.583,-0.966,0.025,-0.098
546.768,-0.966,0.011,-0.089
546.954,-0.969,0.021,-0.092
547.139,-0.973,0.024,-0.091
547.325,-0.976,0.021,-0.133
547.511,-0.966,0.019,-0.103
547.696,-0.971,0.015,-0.072
547.881,-0.971,0.018,-0.104
548.067,-0.971,0.018,-0.128
548.253,-0.970,0.014,-0.115
548.439,-0.972,0.018,-0.108
548.624,-0.969,0.015,-0.094
548.809,-0.972,0.015,-0.119
548.995,-0.966,0.019,-0.074
549.180,-0.972,0.026,-0.097
549.366,-0.971,0.020,-0.112
549.552,-0.972,0.017,-0.113
549.737,-0.969,0.021,-0.083
549.922,-0.970,0.017,-0.077
550.108,-0.972,0.021,-0.096
550.293,-0.968,0.014,-0.104
550.479,-0.971,0.017,-0.091
550.665,-0.967,0.018,-0.111
550.850,-0.972,0.012,-0.088
551.035,-0.971,0.016,-0.096
551.221,-0.973,0.023,-0.095
551.406,-0.974,0.020,-0.102
551.592,-0.966,0.021,-0.117
551.778,-0.971,0.014,-0.105
551.963,-0.965,0.019,-0.104
552.148,-0.974,0.020,-0.083
552.334,-0.974,0.013,-0.103
552.519,-0.968,0.014,-0.091
552.706,-0.966,0.016,-0.081
552.891,-0.962,0.022,-0.095
553.076,-0.971,0.017,-0.124
553.262,-0.971,0.021,-0.099
553.447,-0.968,0.020,-0.076
553.633,-0.963,0.020,-0.100
553.819,-0.975,0.016,-0.119
554.004,-0.969,0.025,-0.129
554.189,-0.961,0.016,-0.095
554.375,-0.969,0.022,-0.082
554.560,-0.978,0.020,-0.106
554.746,-0.969,0.012,-0.120
554.932,-0.969,0.018,-0.100
555.117,-0.970,0.020,-0.051
555.302,-0.973,0.020,-0.119
555.488,-0.971,0.011,-0.130
555.673,-0.964,0.008,-0.105
555.859,-0.966,0.026,-0.079
556.045,-0.973,0.015,-0.116
556.230,-0.971,0.016,-0.116
556.416,-0.967,0.015,-0.079
556.601,-0.965,0.027,-0.077
556.786,-0.977,0.018,-0.090
556.973,-0.973,0.022,-0.110
557.158,-0.959,0.017,-0.127
557.343,-0.962,0.010,-0.104
557.529,-0.968,0.025,-0.110
557.714,-0.972,0.012,-0.069
557.899,-0.966,0.020,-0.098
558.086,-0.965,0.019,-0.088
558.271,-0.970,0.021,-0.085
558.456,-0.971,0.017,-0.102
558.642,-0.975,0.018,-0.108
558.827,-0.977,0.022,-0.076
559.012,-0.968,0.023,-0.092
559.199,-0.967,0.020,-0.111
559.384,-0.970,0.016,-0.127
559.569,-0.972,0.014,-0.062
559.755,-0.972,0.019,-0.103
559.940,-0.967,0.018,-0.118
560.125,-0.969,0.016,-0.109
560.312,-0.968,0.016,-0.102
560.497,-0.973,0.021,-0.064
560.683,-0.979,0.017,-0.085
560.868,-0.969,0.011,-0.121
561.053,-0.964,0.022,-0.103
561.239,-0.968,0.020,-0.083
561.425,-0.972,0.016,-0.087
561.610,-0.967,0.017,-0.115
561.796,-0.965,0.016,-0.087
561.981,-0.976,0.025,-0.077
562.166,-0.979,0.020,-0.096
562.352,-0.968,0.018,-0.088
562.538,-0.964,0.015,-0.099
562.723,-0.972,0.013,-0.109
562.909,-0.975,0.023,-0.097
563.094,-0.974,0.018,-0.092
563.279,-0.965,0.016,-0.103
563.465,-0.965,0.023,-0.078
563.651,-0.975,0.022,-0.111
563.836,-0.972,0.018,-0.086
564.022,-0.969,0.012,-0.106
564.207,-0.969,0.010,-0.088
564.392,-0.977,0.020,-0.106
564.578,-0.977,0.018,-0.101
564.764,-0.972,0.013,-0.105
564.950,-0.969,0.020,-0.055
565.135,-0.968,0.022,-0.111
565.320,-0.976,0.015,-0.106
565.506,-0.972,0.018,-0.115
565.691,-0.968,0.019,-0.066
565.877,-0.974,0.023,-0.078
566.063,-0.965,0.020,-0.107
566.248,-0.970,0.008,-0.103
566.433,-0.969,0.019,-0.083
566.619,-0.972,0.018,-0.097
566.804,-0.966,0.013,-0.095
566.990,-0.971,0.015,-0.113
567.176,-0.968,0.018,-0.072
567.361,-0.967,0.019,-0.068
567.546,-0.974,0.022,-0.096
567.732,-0.963,0.016,-0.121
567.918,-0.968,0.023,-0.079
568.103,-0.968,0.029,-0.094
568.289,-0.975,0.020,-0.088
568.474,-0.968,0.020,-0.127
568.659,-0.967,0.016,-0.072
568.845,-0.967,0.013,-0.088
569.030,-0.973,0.015,-0.043
569.217,-0.969,0.014,-0.110
569.402,-0.974,0.023,-0.075
569.587,-0.972,0.020,-0.065
569.773,-0.971,0.018,-0.094
569.958,-0.971,0.014,-0.130
570.143,-0.974,0.019,-0.077
570.330,-0.962,0.019,-0.076
570.515,-0.969,0.021,-0.101
570.700,-0.972,0.020,-0.095
570.886,-0.971,0.017,-0.091
571.071,-0.977,0.021,-0.084
571.256,-0.966,0.014,-0.064
571.443,-0.967,0.021,-0.112
571.628,-0.965,0.027,-0.098
571.813,-0.968,0.027,-0.081
571.999,-0.970,0.019,-0.090
572.184,-0.973,0.016,-0.124
572.370,-0.960,0.020,-0.088
572.556,-0.972,0.018,-0.092
572.741,-0.967,0.017,-0.097
572.926,-0.972,0.009,-0.087
573.112,-0.966,0.017,-0.066
573.297,-0.970,0.016,-0.084
573.484,-0.971,0.016,-0.110
573.669,-0.968,0.019,-0.086
573.854,-0.965,0.017,-0.089
574.040,-0.978,0.020,-0.111
574.225,-0.972,0.010,-0.128
574.410,-0.961,0.029,-0.093
574.597,-0.970,0.019,-0.104
574.782,-0.972,0.010,-0.089
574.967,-0.969,0.020,-0.093
575.153,-0.972,0.023,-0.056
575.338,-0.968,0.019,-0.095
575.523,-0.971,0.018,-0.119
575.710,-0.963,0.016,-0.108
575.895,-0.968,0.019,-0.085
576.080,-0.976,0.025,-0.117
576.266,-0.965,0.017,-0.102
576.451,-0.970,0.016,-0.072
576.636,-0.968,0.020,-0.102
576.823,-0.973,0.016,-0.088
577.008,-0.974,0.021,-0.115
577.193,-0.970,0.018,-0.078
577.379,-0.970,0.020,-0.107
577.564,-0.973,0.019,-0.139
577.750,-0.973,0.011,-0.081
577.936,-0.968,0.026,-0.081
578.121,-0.967,0.018,-0.122
578.307,-0.971,0.014,-0.116
578.492,-0.966,0.009,-0.123
578.677,-0.962,0.016,-0.115
578.863,-0.972,0.013,-0.112
579.049,-0.975,0.019,-0.114
579.234,-0.973,0.021,-0.080
579.420,-0.971,0.020,-0.088
579.605,-0.970,0.020,-0.092
579.790,-0.965,0.018,-0.110
579.976,-0.969,0.021,-0.079
580.162,-0.965,0.020,-0.086
580.347,-0.972,0.018,-0.114
580.533,-0.955,0.015,-0.108
580.718,-0.976,0.018,-0.098
580.903,-0.973,0.017,-0.124
581.089,-0.972,0.021,-0.091
581.275,-0.968,0.022,-0.105
581.460,-0.963,0.017,-0.090
581.646,-0.965,0.024,-0.112
581.831,-0.963,0.012,-0.092
582.017,-0.971,0.023,-0.092
582.202,-0.987,0.017,-0.107
582.388,-0.972,0.015,-0.094
582.574,-0.967,0.016,-0.081
582.759,-0.967,0.021,-0.077
582.944,-0.976,0.022,-0.105
583.130,-0.974,0.011,-0.092
583.316,-0.964,0.008,-0.078
583.501,-0.975,0.018,-0.104
583.687,-0.967,0.016,-0.099
583.872,-0.971,0.021,-0.093
584.057,-0.967,0.017,-0.089
584.243,-0.969,0.019,-0.108
584.429,-0.964,0.010,-0.124
584.614,-0.968,0.022,-0.077
584.800,-0.966,0.019,-0.147
584.985,-0.966,0.021,-0.103
585.170,-0.969,0.022,-0.123
585.356,-0.958,0.016,-0.104
585.542,-0.970,0.016,-0.088
585.728,-0.972,0.011,-0.106
585.913,-0.966,0.025,-0.073
586.098,-0.977,0.016,-0.094
586.284,-0.978,0.024,-0.112
586.469,-0.973,0.012,-0.110
586.655,-0.967,0.021,-0.077
586.841,-0.970,0.028,-0.092
587.026,-0.967,0.020,-0.096
587.211,-0.969,0.022,-0.097
587.397,-0.972,0.017,-0.108
587.582,-0.972,0.013,-0.114
587.768,-0.970,0.013,-0.121
587.954,-0.966,0.015,-0.075
588.139,-0.972,0.014,-0.103
588.324,-0.967,0.012,-0.116
588.510,-0.974,0.015,-0.066
588.695,-0.973,0.016,-0.089
588.881,-0.979,0.018,-0.110
589.067,-0.961,0.008,-0.110
